"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL"
"25f1b1556c02dca1f8671f143f282a72",1109103,"Cálculo Diferencial e Integral I",2016,1,NA
"25f1b1556c02dca1f8671f143f282a72",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"25f1b1556c02dca1f8671f143f282a72",1307151,"Leitura e Produção de Textos",2016,1,NA
"19191a02edd8cd019d59b4c9f3ef8af4",1411174,"Introdução à Computação",2016,1,7
"19191a02edd8cd019d59b4c9f3ef8af4",1411180,"Laboratório de Programação I",2016,1,5
"19191a02edd8cd019d59b4c9f3ef8af4",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5.4
"357d93e31ac9d3f6a2eb59ffa96c9651",1307151,"Leitura e Produção de Textos",2016,1,9.5
"054adfd061165d98ace0ca50828e8e18",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5
"054adfd061165d98ace0ca50828e8e18",1307151,"Leitura e Produção de Textos",2016,1,7.3
"054adfd061165d98ace0ca50828e8e18",1411167,"Programação I",2016,1,5.1
"054adfd061165d98ace0ca50828e8e18",1411174,"Introdução à Computação",2016,1,7
"054adfd061165d98ace0ca50828e8e18",1411180,"Laboratório de Programação I",2016,1,6
"357d93e31ac9d3f6a2eb59ffa96c9651",1109103,"Cálculo Diferencial e Integral I",2016,1,8.7
"8fd7d13ede1780662df4643fe408dd5a",1411167,"Programação I",2016,1,9.9
"8fd7d13ede1780662df4643fe408dd5a",1411174,"Introdução à Computação",2016,1,9.3
"8fd7d13ede1780662df4643fe408dd5a",1411180,"Laboratório de Programação I",2016,1,9.9
"357d93e31ac9d3f6a2eb59ffa96c9651",1411167,"Programação I",2016,1,9.4
"357d93e31ac9d3f6a2eb59ffa96c9651",1411174,"Introdução à Computação",2016,1,7.7
"357d93e31ac9d3f6a2eb59ffa96c9651",1411180,"Laboratório de Programação I",2016,1,9.4
"8fd7d13ede1780662df4643fe408dd5a",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,8.2
"8fd7d13ede1780662df4643fe408dd5a",1109103,"Cálculo Diferencial e Integral I",2016,1,8.3
"19191a02edd8cd019d59b4c9f3ef8af4",1307151,"Leitura e Produção de Textos",2016,1,7
"19191a02edd8cd019d59b4c9f3ef8af4",1411167,"Programação I",2016,1,5
"e994e0c371fd934ae467e2f79989c19e",1411167,"Programação I",2016,1,7.9
"e994e0c371fd934ae467e2f79989c19e",1411180,"Laboratório de Programação I",2016,1,7.9
"e994e0c371fd934ae467e2f79989c19e",1411174,"Introdução à Computação",2016,1,7.1
"e994e0c371fd934ae467e2f79989c19e",1307151,"Leitura e Produção de Textos",2016,1,9.1
"e994e0c371fd934ae467e2f79989c19e",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,5
"f6dee580b04d9fa2444ba38bdd4191fb",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,3.3
"f6dee580b04d9fa2444ba38bdd4191fb",1109103,"Cálculo Diferencial e Integral I",2016,1,3.8
"f6dee580b04d9fa2444ba38bdd4191fb",1307151,"Leitura e Produção de Textos",2016,1,9.3
"f6dee580b04d9fa2444ba38bdd4191fb",1411167,"Programação I",2016,1,9.2
"f6dee580b04d9fa2444ba38bdd4191fb",1411174,"Introdução à Computação",2016,1,7
"8c3dbb680e0048b3c3ba7cd3b26c2235",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"8c3dbb680e0048b3c3ba7cd3b26c2235",1109103,"Cálculo Diferencial e Integral I",2016,1,4.1
"8c3dbb680e0048b3c3ba7cd3b26c2235",1307151,"Leitura e Produção de Textos",2016,1,8
"8c3dbb680e0048b3c3ba7cd3b26c2235",1411167,"Programação I",2016,1,NA
"8c3dbb680e0048b3c3ba7cd3b26c2235",1411174,"Introdução à Computação",2016,1,5.5
"8c3dbb680e0048b3c3ba7cd3b26c2235",1411180,"Laboratório de Programação I",2016,1,4.4
"9db056195fc68605476feb6954c67aaa",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"9db056195fc68605476feb6954c67aaa",1109103,"Cálculo Diferencial e Integral I",2016,1,5.2
"9db056195fc68605476feb6954c67aaa",1411167,"Programação I",2016,1,5
"9db056195fc68605476feb6954c67aaa",1411174,"Introdução à Computação",2016,1,7.7
"9db056195fc68605476feb6954c67aaa",1411180,"Laboratório de Programação I",2016,1,5
"0a4c7d73f0c3a76dc958ec92398672c0",1109035,"Álgebra Vetorial e Geometria Analítica",2016,1,NA
"0a4c7d73f0c3a76dc958ec92398672c0",1109103,"Cálculo Diferencial e Integral I",2016,1,0.2
